well,pad,ipr_source,ipr_r2,latest_gauge_date,saved_cutoff,exclusion,test_age_days,watercut_difference_points,input_flags,rejected_tests,recent_test_count,pump_date,model_installed_nozzle,model_installed_throat,model_form_wc,model_form_gor,model_res_pres,model_jpump_direction,date,wt_uid,observed_bhp,observed_oil,observed_pf,ppf,pwh,wc,fgor,qtot,predicted_bhp,predicted_oil,predicted_pf,sonic,bhp_error,oil_error_bopd,oil_error_pct,pf_error_pct,error
MPS-05,S,saved,,2026-08-08,2026-08-17,no credible BHP gauge reading in last 14 days,,,,,6,2025-09-18,9,C,0.25,1750.0,1400.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-08,S,default,,,,no credible BHP gauge reading in last 14 days,,,,,0,2024-12-31,,,0.5,250.0,1800.0,forward,,,,,,,,,,,,,,,,,,,
MPS-12,S,single_test,,2026-08-08,,no credible BHP gauge reading in last 14 days,,,,,8,2026-07-28,10,C,0.0,591.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-17,S,single_test,,2026-08-08,,no credible BHP gauge reading in last 14 days,,,,,6,2026-07-12,9,B,0.0,214.0,1800.0,forward,,,,,,,,,,,,,,,,,,,
MPS-204,S,vogel,-1.037,2026-08-27,,,38.0,-39.3681273043923,latest usable test is over 30 days old; model and test watercut differ by over 10 percentage points,2: before current pump or installation day; 1: no plausible test-day PF pressure; 1: invalid BHP,5,2026-07-29,12,B,0.328,709.0,1529.0,reverse,2026-08-01,-3596186,999.0,365.1783,2862.677,3336.694,273.717,0.721681273043923,687.4499388380964,1312.0867,846.6724026054583,652.6061362453586,2924.946301973967,True,-152.32759739454173,287.4278362453586,78.70890363566471,2.175212291640549,
MPS-23,S,vogel,-3.471,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,5: before current pump or installation day,5,2026-08-09,11,B,0.636,1281.0,720.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-25,S,single_test,,2026-08-08,,no credible BHP gauge reading in last 14 days,,,,,3,2026-04-17,11,D,0.0,115.0,1800.0,forward,,,,,,,,,,,,,,,,,,,
MPS-28,S,default,,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,,0,2024-09-02,10,B,0.5,250.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-29,S,default,,2026-09-07,,no dated current pump identity,,,,,0,,,,0.5,250.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-35,S,default,,2026-09-07,,no dated current pump identity,,,,,0,,,,0.5,250.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-45,S,vogel,0.122,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,4: before current pump or installation day,4,2026-08-08,13,B,0.886,1638.0,1122.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-47,S,single_test,,,,no credible BHP gauge reading in last 14 days,,,,,8,2023-03-20,13,B,0.5664444803945462,341.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-54,S,saved,,2026-09-07,2026-08-27,no usable BHP/oil/pressure test in current pump era within 90 days,,,,8: before current pump or installation day,8,2026-08-31,15,A,0.263,363.0,857.0,forward,,,,,,,,,,,,,,,,,,,
MPS-57,S,default,,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,,0,2025-11-21,9,B,0.5,250.0,1800.0,reverse,,,,,,,,,,,,,,,,,,,
MPS-67,S,vogel,-1.221,2026-09-07,,,54.0,0.0232124054929006,latest usable test is over 30 days old,1: no plausible measured test-day wellhead pressure,6,2026-06-19,14,B,0.744,1875.0,1761.0,reverse,2026-07-16,-3587798,863.57,542.1173,4412.035,3278.693,340.479,0.743767875945071,1875.5608795365874,2115.7273,992.4567254880193,482.96222636897903,4747.2637201369635,True,128.88672548801924,-59.15507363102097,-10.91185867542338,7.598052149109513,
MPS-90,S,default,,2026-09-07,,no usable BHP/oil/pressure test in current pump era within 90 days,,,,,0,2023-04-27,11,A,0.5,250.0,1800.0,forward,,,,,,,,,,,,,,,,,,,
